041012775;БЛАГОВЕЩЕНСКИЙ Ф-Л ОАО "ПРОМСВЯЗЬБАНК";30101810400000000775
041012603;БЛАГОВЕЩЕНСКОЕ ОСБ N 8636;30101810200000000603
041012770;ДФ ОАО КБ "РЕГИОНАЛЬНЫЙ КРЕДИТ";30101810900000000770
041012742;ИКБ "АМУРЗОЛОТОБАНК";30101810200000000742
041012774;КБ "ПОЯРКОВО";30101810100000000774
041012745;ОАО "ВОСТОККРЕДИТБАНК";30101810100000000745
041012723;ОАО "ДВРБ";30101810300000000723
041012755;ОАО "СУПЕРБАНК";30101810200000000755
041023758;ОАО АКБ "БЕЛОГОРСКАГРОКОМБАНК";30101810300000000758
041012718;ОАО КБ "ВОСТОЧНЫЙ";30101810700000000718
041012771;Ф.БЛАГОВЕЩЕНСКИЙ"БАНК РОССИЙСКИЙ КРЕДИТ";30101810200000000771
041012790;Ф.ЗАО "АМУРПРОМСТРОЙБАНК" В Г.ЗЕЯ;30101810100000000790
041023709;Ф.ЗАО "АМУРПРОМСТРОЙБАНК" В Г.СВОБОДНОМ;30101810100000000709
041023743;Ф.ЗАО "АМУРПРОМСТРОЙБАНК" В Г.ШИМАНОВСКЕ;30101810700000000743
041012795;Ф.ЗАО "АМУРПРОМСТРОЙБАНК" В ПГТ.ЭКИМЧАН;30101810600000000795
041018734;Ф.ЗАО"АМУРПРОМСТРОЙБАНК" В Г.РАЙЧИХИНСКЕ;30101810100000000734
041012781;ФАКБ "АМУРБАНК";30101810300000000781
041018784;ФАКБ "АМУРПРОМСТРОЙБАНК";30101810600000000784
041012796;ФАКБ "АМУРПРОМСТРОЙБАНК";30101810900000000796
041012725;ФАКБ "АМУРПРОМСТРОЙБАНК";30101810900000000725
041023766;ФАКБ "АМУРПРОМСТРОЙБАНК";30101810800000000766
041023738;ФАКБ "БАМКРЕДИТ";30101810100000000738
041012747;ФАКБ "БАМКРЕДИТ";30101810700000000747
041013745;ФАКБ "БАМКРЕДИТ";30101810000000000745
041012783;ФАКБ "БАМКРЕДИТ";30101810900000000783
041013751;ФАКБ "ПРОМСТРОЙБАНКА";30101810900000000751
041012720;ФАКБ "СИБМАШНЕФТЕБАНК";30101810400000000720
041012753;ФАКБ ЗАО "ДВСКБАНК" БЛАГОВЕЩЕНСКИЙ;30101810600000000753
041012702;ФБ ДАЛЬНЕВОСТОЧНОЕОВК ОАО Г БЛАГОВЕЩЕНСК;30101810800000000702
041018767;ФЗАО"АМУРПРОМСТРОЙБАНК"В П.НОВОБУРЕЙСКИЙ;30101810300000000767
041012733;ФИЛИАЛ "АМУРСКИЙ" ОАО "ТЭМБР-БАНК";30101810400000000733
041012735;ФИЛИАЛ БЛАГОВЕЩЕНСКИЙ БАНКА ИТБ (ОАО);30101810000000000735
041012791;ФИЛИАЛ БЛАГОВЕЩЕНСКИЙ ОАО "ИМПЭКСБАНК";30101810400000000791
041013769;ФИЛИАЛ ИКБ "АМУРЗОЛОТОБАНК" В Г.ТЫНДА;30101810400000000769
041012713;ФИЛИАЛ ОАО "ТРАНСКРЕДИТБАНК" В БЛАГОВЕЩЕНСКЕ;30101810200000000713
041012762;ФИЛИАЛ ОАО БАНК ВТБ В Г.БЛАГОВЕЩЕНСКЕ;30101810400000000762
041012716;ФИЛИАЛ ООО "ПРОМСЕРВИСБАНК" В Г.БЛАГОВЕЩЕНСК;30101810100000000716
041012754;ФИЛИАЛ СЕВЕРНЫЙ АКБ "АМУРБАНК";30101810900000000754
041012722;ФКБ "ДАЛЬКОМБАНК" БЛАГОВЕЩЕНСКИЙ;30101810000000000722
041013708;ФКБ "ДАЛЬКОМБАНК" ТЫНДИНСКИЙ;30101810500000000708
041018761;ФКБ "ЛИГАБАНК";30101810500000000761
041023713;ФКБ "ЛИГАБАНК";30101810400000000713
041012752;ФКБ "ЛИГАБАНК";30101810300000000752
041012726;Ф-Л ОАО ДКБ "ДАЛЬРЫББАНК" Г.БЛАГОВЕЩЕНСК;30101810200000000726
041012744;ФРУ АКБ "СУПЕРБАНК" В Г.СКОВОРОДИНО;30101810800000000744
041012606;ФСБ СБ РФ N 0280;30101810100000000606
041013618;ФСБ СБ РФ N 3707;30101810700000000618
041023630;ФСБ СБ РФ N 4133;30101810800000000630
041018621;ФСБ СБ РФ N 4136;30101810200000000621
041012607;ФСБ СБ РФ N 4138;30101810400000000607
041023605;ФСБ СБ РФ N 6233;30101810000000000605
041117752;"ЛЕСОБАНК";30101810800000000752
041117726;АКБ "АРХАНГЕЛЬСК ПСБ";30101810700000000726
041117751;АКБ "ДВИНА-ТРАСТ";30101810500000000751
041117702;АКБ "ПОМОРСКИЙ";30101810300000000702
041117932;АРФ ОАО "МДМ БАНК";30101810400000000932
041117728;АРХАНГЕЛЬСКИЙ РЕГИОН.Ф-Л "АГРОПРОМБАНКА";30101810300000000728
041117772;АРХАНГЕЛЬСКИЙ РФ ОАО "РОССЕЛЬХОЗБАНК";30101810000000000772
041117750;АРХАНГЕЛЬСКИЙ ФАБ "ОРГРЭСБАНК" (ОАО);30101810200000000750
041117743;АРХАНГЕЛЬСКИЙ ФИЛИАЛ БАНКА "ЦЕНТРАЛЬНОЕ ОВК";30101810000000000743
041117945;АРХАНГЕЛЬСКИЙ ФИЛИАЛ КБ "РЭБ" (ЗАО);30101810400000000945
041117987;АРХАНГЕЛЬСКИЙ ФИЛИАЛ ОАО "БАЛТИЙСКИЙ БАНК";30101810400000000987
041117723;АРХАНГЕЛЬСКИЙ ФИЛИАЛ ОАО "БАНК ВЕФК";30101810800000000723
041117720;АРХАНГЕЛЬСКИЙ ФИЛИАЛ ОАО "БАНК МОСКВЫ";30101810900000000720
041117793;АРХАНГЕЛЬСКИЙ ФИЛИАЛ ОАО "ФОНДСЕРВИСБАНК";30101810500000000793
041117780;АРХАНГЕЛЬСКИЙ ФИЛИАЛ ОАО АБ "ИНКОМБАНК";30101810500000000780
041117961;АРХАНГЕЛЬСКИЙ ФИЛИАЛ ОАО АКБ "РОСБАНК";30101810400000000961
041117790;АРХАНГЕЛЬСКИЙ ФИЛИАЛ ООО "ВНЕШПРОМБАНК";30101810600000000790
041117903;АРХАНГЕЛЬСКИЙ ФКБ "СЕВЕРГАЗБАНК";30101810400000000903
041117744;АРХАНГЕЛЬСКИЙ ФКБ "СЕВЕРНЫЙ КРЕДИТ" (ОАО);30101810300000000744
041117601;АРХАНГЕЛЬСКОЕ ОСБ N 8637;30101810100000000601
041117709;БАНК "СЕВЕРНЫЙ КРЕДИТ" (ЗАО);30101810400000000709
041117774;ЗАО "ПРОФИБАНК";30101810600000000774
041117309;ЗАО "СЕВЕРНАЯ КЛИРИНГОВАЯ ПАЛАТА";30103810400000000309
041117770;ЗАО АЖКБ;30101810400000000770
041115635;КАРГОПОЛЬСКИЙ Ф-Л N 1552/042 НЯНД.ОТД.СБ;30101810800000000635
041117732;КБ "АСКБ";30101810600000000732
041137734;КБ "НЯНДОМАБАНК";30101810800000000734
041106708;КОТЛАССКИЙ ФКБ "СЕВЕРГАЗБАНК";30101810900000000708
041125769;НАРЬЯН-МАРСКИЙ ФИЛИАЛ ИКБ "СУДКОМБАНК";30101810500000000769
041125739;НАРЬЯН-МАРСКИЙ ФИЛИАЛ ОАО "МИНБ";30101810200000000739
041117711;Ф.АРХАНГЕЛЬСКИЙ ОАО "БАНК ВТБ СЕВЕРО-ЗАПАД";30101810100000000711
041106768;ФАКБ "АВТОБАНК";30101810500000000768
041102725;ФАКБ "АРХАНГЕЛЬСК ПСБ";30101810600000000725
041106744;ФАКБ "АРХАНГЕЛЬСК ПСБ";30101810100000000744
041117738;ФАКБ "АРХАНГЕЛЬСК ПСБ";30101810400000000738
041109722;ФАКБ "АРХАНГЕЛЬСК ПСБ";30101810000000000722
041111771;ФАКБ "АРХАНГЕЛЬСК ПСБ";30101810300000000771
041106729;ФАКБ "АРХАНГЕЛЬСК ПСБ";30101810400000000729
041117712;ФАКБ "АРХАНГЕЛЬСК ПСБ";30101810400000000712
041108747;ФАКБ "АРХАНГЕЛЬСК ПСБ";30101810800000000747
041117762;ФАКБ "АРХАНГЕЛЬСК ПСБ"  ЛЕСНОЕ;30101810900000000762
041117753;ФАКБ "АРХАНГЕЛЬСК ПСБ" ИСАКОГОРСКИЙ;30101810100000000753
041125735;ФАКБ "АРХАНГЕЛЬСК ПСБ" НЕНЕЦКИЙ;30101810000000000735
041117733;ФАКБ "АРХАНГЕЛЬСК ПСБ" СОЛОМБАЛЬСКИЙ;30101810900000000733
041117757;ФАКБ "АРХАНГЕЛЬСК ПСБ" ЦЕНТРАЛЬНЫЙ;30101810300000000757
041102791;ФАКБ "ДВИНА-ТРАСТ";30101810100000000791
041109714;ФАКБ "ДВИНА-ТРАСТ";30101810500000000714
041106765;ФАКБ "ДВИНА-ТРАСТ";30101810600000000765
041107754;ФАКБ "ДВИНА-ТРАСТ";30101810100000000754
041117778;ФАКБ "ДВИНА-ТРАСТ" ЦЕНТРАЛЬНЫЙ;30101810800000000778
041117795;ФАКБ "МОСБИЗНЕСБАНК";30101810100000000795
041117717;ФАКБ "НОВАТОР" СПОЛОХ;30101810900000000717
041108705;ФАКБ "ПОМОРСКИЙ";30101810800000000705
041106777;ФАКБ "ПОМОРСКИЙ";30101810300000000777
041117773;ФАКБ "ПОМОРСКИЙ"  МАЙМАКСАНСКИЙ;30101810300000000773
041117715;ФАКБ "ПОМОРСКИЙ" ЛОМОНОСОВСКИЙ;30101810300000000715
041125766;ФАКБ "ПОМОРСКИЙ" НАРЬЯН-МАРСКИЙ;30101810600000000766
041117704;ФАКБ "ПОМОРСКИЙ" СОЛОМБАЛЬСКИЙ;30101810900000000704
041117759;ФАКБ "РОССИЙСКИЙ КАПИТАЛ" (ОАО)АРХАНГЕЛЬСКИЙ;30101810900000000759
041117745;ФАКБ "СБС-АГРО" АРХАНГЕЛЬСКИЙ РЕГИОНАЛЬНЫЙ;30101810600000000745
041137750;ФАКБ НЯНДОМСКИЙ Ф-Л ЗАОПЕРВЫЙ СУДОХОДНЫЙ БАНК;30101810800000000750
041117958;ФИЛИАЛ "СУДОХОДНЫЙ" ЗАО БАНК "СОВЕТСКИЙ";30101810400000000958
041117705;ФИЛИАЛ N 5 МОСКОВСКОГО ОБЛАСТНОГО БАНКА (ООО);30101810200000000705
041126633;ФИЛИАЛ N27/0136 ЛОМОНОСОВСКОГО ОТД.СБ РФ;30101810400000000633
041117737;ФИЛИАЛ N2939 ВТБ 24(ЗАО);30101810100000000737
041117724;ФИЛИАЛ АРХАНГЕЛЬСКИЙ ОАО "СОБИНБАНК";30101810100000000724
041106736;ФИЛИАЛ В Г.КОРЯЖМЕ ОАО "ПСБ";30101810600000000736
041117777;ФИЛИАЛ НБ "ТРАСТ"(ОАО) В Г.АРХАНГЕЛЬСК;30101810500000000777
041117929;ФИЛИАЛ ОАО "МДМ-БАНК" В Г.АРХАНГЕЛЬСК;30101810400000000929
041117756;ФИЛИАЛ ОАО "УРАЛСИБ" В Г.АРХАНГЕЛЬСК;30101810000000000756
041106603;ФИЛИАЛ ООО "ПРОМСЕРВИСБАНК" В Г.КОРЯЖМА;30101810500000000603
041117725;ФИЛИАЛ ООО КБ "БАНК БФТ" В Г.АРХАНГЕЛЬСКЕ;30101810400000000725
041117707;ФИЛИАЛ ООО КБ "ФЕМИЛИ" В Г. АРХАНГЕЛЬСКЕ;30101810800000000707
041117748;ФИЛИАЛ СЗРУ ОАО "МИНБ";30101810500000000748
041105742;ФКБ "АСКБ";30101810600000000742
041108749;ФКБ "АСКБ";30101810400000000749
041125782;ФКБ "АСКБ";30101810600000000782
041102781;ФКБ "НЯНДОМАБАНК";30101810000000000781
041128798;ФКБ "НЯНДОМАБАНК";30101810200000000798
041117916;ФКБ "ПЕТРОКОММЕРЦ" В Г.АРХАНГЕЛЬСКЕ;30101810400000000916
041125811;ФКБ "ПЕТРОКОММЕРЦ" В Г.НАРЬЯН-МАРЕ;30101810500000000811
041117775;ФКБ АРХАНГЕЛЬСКИЙ ФИЛИАЛ КБ "БРИКО";30101810900000000775
041125758;ФКБ НАРЬЯН-МАРСКИЙ ФИЛИАЛ КБ "БРИКО";30101810100000000758
041117974;ФКБ"ЮНИАСТРУМ БАНК"(ООО)В АРХАНГЕЛЬСКЕ;30101810400000000974
041117746;Ф-Л "АРХАНГЕЛЬСКИЙ" ОАО "БАЛТИНВЕСТБАНК";30101810900000000746
041102701;Ф-Л "КОСМОДРОМ-ПЛЕСЕЦК" ОАО "ФОНДСЕРВИСБАНК";30101810200000000701
041101630;Ф-Л ПИНЕЖСКОГО ОТД.СБ РФ N 4060/027;30101810400000000630
041127631;Ф-Л ПЛЕСЕЦКОГО ОТД.СБ РФ N 4061/075;30101810700000000631
041113632;Ф-Л ХОЛМОГОРСКОГО ОТД.СБ РФ N 4063/026;30101810100000000632
041117766;ФМКБ "МАК-БАНК" (ООО) В Г.АРХАНГЕЛЬСКЕ;30101810100000000766
041137613;ФСБ СБ РФ N 1552;30101810400000000613
041125622;ФСБ СБ РФ N 1582 НАРЬЯН-МАРСКИЙ;30101810100000000622
041117624;ФСБ СБ РФ N 27;30101810200000000624
041105605;ФСБ СБ РФ N 4054;30101810200000000605
041119611;ФСБ СБ РФ N 4057;30101810000000000611
041107612;ФСБ СБ РФ N 4058;30101810200000000612
041109614;ФСБ СБ РФ N 4059;30101810600000000614
041116615;ФСБ СБ РФ N 4060;30101810500000000615
041102616;ФСБ СБ РФ N 4061;30101810900000000616
041110620;ФСБ СБ РФ N 4063;30101810700000000620
041111602;ФСБ СБ РФ N 4065;30101810000000000602
041135619;ФСБ СБ РФ N 4071;30101810400000000619
041123621;ФСБ СБ РФ N 4072;30101810000000000621
041112603;ФСБ СБ РФ N 4086;30101810200000000603
041114604;ФСБ СБ РФ N 4087;30101810300000000604
041106608;ФСБ СБ РФ N 4090;30101810000000000608
041124610;ФСБ СБ РФ N 4093;30101810500000000610
041128607;ФСБ СБ РФ N 4120;30101810100000000607
041133609;ФСБ СБ РФ N 4121;30101810500000000609
041117626;ФСБ СБ РФ N 4131;30101810800000000626
041108618;ФСБ СБ РФ N 5494;30101810900000000618
041122627;ФСБ СБ РФ N 7819;30101810900000000627
041106628;ФСБ СБ РФ N 8116;30101810200000000628
041117629;ФСБ СБ РФ N 8218;30101810700000000629
041203752;АКБ "ЭКСПРЕСС-БАНК";30101810900000000752
041203757;АСТРАХАНСКИЙ РФ ОАО "РОССЕЛЬХОЗБАНК";30101810400000000757
041203784;АСТРАХАНСКИЙ ФИЛИАЛ БАНКА "ЦЕНТРАЛЬНОЕ ОВК";30101810800000000784
041203791;АСТРАХАНСКИЙ ФИЛИАЛ КБ "РОСПРОМБАНК" (ООО);30101810000000000791
041203788;АСТРАХАНСКИЙ ФИЛИАЛ КБ "РЭБ" (ЗАО);30101810000000000788
041203773;АСТРАХАНСКИЙ ФИЛИАЛ ОАО "БАНК МОСКВЫ";30101810400000000773
041203790;АСТРАХАНСКИЙ ФИЛИАЛ ОАО "РУСЬ-БАНК";30101810700000000790
041203786;АСТРАХАНСКИЙ ФИЛИАЛ ОАО АКБ "РОСБАНК";30101810400000000786
041203738;АСТРАХАНСКИЙ ФИЛИАЛ ОАО АКБ "СВЯЗЬ-БАНК";30101810500000000738
041203602;АСТРАХАНСКОЕ ОСБ N 8625;30101810500000000602
041206762;АХТУБИНСКИЙ ФИЛИАЛ ОАО АГРОИНКОМБАНК;30101810700000000762
041213733;ИКРЯНИНСКИЙ ФИЛИАЛ ОАО ВКАБАНКА;30101810300000000733
041203741;КБ "АЛИСА-БАНК-АСТКАР";30101810500000000741
041203743;КБ "АРТЕМИДА";30101810100000000743
